taxid	species	rna_count	illumina_rna_count	cds_link
126270	Alliaria petiolata	4	4	
4170	Striga asiatica	4	4	
2594499	Rhamnella rubrinervis	4	4	
665498	Stipa capillata	4	4	
103489	Quercus glauca	4	4	
159030	Murraya koenigii	4	4	
441023	Ruellia speciosa	4	4	
459629	Embelia ribes	4	4	
473980	Pugionium dolabratum	4	4	
75800	Coelastrella	4	4	
228709	Cynanchum wilfordii	4	4	
56998	Wollemia nobilis	4	4	
325984	Dioscorea zingiberensis	4	4	
4487	Aegilops searsii	4	4	
1282669	Eucalyptus polybractea	4	4	
137697	Rheum nobile	4	4	
85864	Magnolia officinalis	4	4	
77586	Leersia perrieri	4	4	
48545	Asclepias syriaca	4	4	
139772	Triadica sebifera	21	3	
185202	Smallanthus sonchifolius	5	3	
13579	Juncus effusus	5	3	
272863	Asparagus setaceus	4	3	
41228	Plectranthus barbatus	4	3	
284366	Oxyria digyna	3	3	
1237849	Voacanga thouarsii	3	3	
4052	Hedera helix	3	3	
1042139	Syzygium grande	3	3	
100296	Carex kokanica	3	3	
99814	Sequoiadendron giganteum	3	3	
1764295	Chloropicon primus	3	3	
241841	Xylocarpus granatum	3	3	
51714	Volvox africanus	3	3	
88270	Picocystis	3	3	
1492673	Primulina huaijiensis	3	3	
66387	Ficus religiosa	3	3	
47281	Edaphochlamys debaryana	3	3	
347889	Eutrema heterophyllum	3	3	
347893	Eutrema yunnanense	3	3	
796727	Elaeagnus macrophylla	3	3	
53269	Trebouxia gelatinosa	3	3	
63629	Oryza minuta	3	3	
55611	Artemisia tridentata	4	2	
192045	Musa beccarii	3	2	
413951	Ceriops zippeliana	3	2	
270110	Cochlearia officinalis	3	2	
69109	Adansonia digitata	2	2	
160685	Costus pulverulentus	2	2	
71354	Hirschfeldia incana	2	2	
880440	Acacia pycnantha	2	2	
2864041	Camelina neglecta	2	2	
79760	Coriaria nepalensis	2	2	
482298	Ensete glaucum	2	2	
292385	Vitellaria paradoxa	2	2	
401655	Rhododendron mucronatum	2	2	
39631	Azolla caroliniana	2	2	
681482	Psidium friedrichsthalianum	2	2	
66385	Ficus microcarpa	2	2	
13055	Chamaenerion angustifolium	2	2	
2026947	Chlamydomonas schloesseri	2	2	
4023	Acer negundo	2	2	
386182	Herpetospermum pedunculosum	2	2	
330168	Erysimum cheiranthoides	2	2	
2576442	Spirogloea muscicola	2	2	
121088	Ostreobium quekettii	2	2	
561372	Nyssa sinensis	2	2	
253017	Impatiens glandulifera	2	2	
91351	unclassified Chlorophyta	2	2	
63678	Turritis glabra	2	2	
172263	Solanum bukasovii	2	2	
46969	Thalictrum thalictroides	2	2	
205521	Jaltomata sinuosa	2	2	
157652	Mucuna pruriens	2	2	
200001	Begonia fuchsioides	2	2	
32243	Purshia tridentata	2	2	
48231	Dryas drummondii	2	2	
137178	Selaginella tamariscina	2	2	
57919	Geum urbanum	2	2	
165298	Cissus quadrangularis	2	2	
3089	Scenedesmus quadricauda	2	2	
3559	Chenopodium album	2	2	
60118	Cornus controversa	2	2	
989334	Campanula takesimana	2	2	
4483	Aegilops bicornis	2	2	
101012	Fragaria nipponica	2	2	
64939	Fragaria iinumae	2	2	
3381	Gnetum montanum	2	2	
4733	Typha latifolia	2	2	
50459	Barbarea vulgaris	2	2	
48387	Anthoceros angustus	2	2	
242159	Ostreococcus sp. 'lucimarinus'	2	2	
109996	Raphanus raphanistrum	28	1	
77108	Nuphar advena	10	1	
13415	Chamaecyparis obtusa	7	1	
13469	Cupressus sempervirens	7	1	
34275	Gossypium mustelinum	7	1	
99038	Glebionis coronaria	5	1	
103480	Castanea crenata	5	1	
173701	Boswellia sacra	5	1	
99438	Lumnitzera racemosa	3	1	
192314	Utricularia reniformis	3	1	
318445	Juncus inflexus	2	1	
117272	Amaranthus cruentus	2	1	
28529	Bretschneidera sinensis	2	1	
75699	Salix arbutifolia	2	1	
24962	Castanospermum australe	2	1	
29803	Sherardia arvensis	1	1	
289672	Erythroxylum coca	1	1	
378904	Leonotis leonurus	1	1	
55843	Tagetes patula	1	1	
383670	Telfairia occidentalis	1	1	
67428	Thuidium tamariscinum	1	1	
28468	Rhytidiadelphus loreus	1	1	
56535	Pulicaria dysenterica	1	1	
28470	Polystichum acrostichoides	1	1	
326274	Pinguicula primuliflora	1	1	
49622	Rhododendron ferrugineum	1	1	
57948	Dryas octopetala	1	1	
102599	Misopates orontium	1	1	
50278	Cinchona pubescens	1	1	
308225	Cereus fernambucensis	1	1	
578542	Combretum micranthum	1	1	
140873	Carex myosuroides	1	1	
74822	Papaver californicum	1	1	
357465	Papaver armeniacum	1	1	
357466	Papaver atlanticum	1	1	
91212	Juglans californica	1	1	
167791	Bauhinia variegata	1	1	
765718	unclassified Pedinophyceae	1	1	
434635	Centrapalus pauciflorus	1	1	
257627	Dunaliella primolecta	1	1	
70936	Medicago arabica	1	1	
51121	Arachis cardenasii	1	1	
35878	Flaveria floridana	1	1	
151433	Prunus fruticosa	1	1	
39388	Verbascum thapsus	1	1	
112807	Puya raimondii	1	1	
51695	Chlamydomonas incerta	1	1	
345143	Tetrastigma voinierianum	1	1	
1616479	Leptodermis oblonga	1	1	
103490	Quercus gilva	1	1	
56031	Fraxinus nigra	1	1	
115627	Limeum aethiopicum	1	1	
46118	Corrigiola litoralis	1	1	
764202	Macarthuria australis	1	1	
2083489	Pharnaceum exiguum	1	1	
875673	Solanum x curtilobum	1	1	
136614	Solanum x juzepczukii	1	1	
682313	Solanum chaucha	1	1	
1181297	Zostera nigricaulis	1	1	
262921	Rhododendron williamsianum	1	1	
2448454	Pyrus ussuriensis x Pyrus communis	1	1	
1973153	Prototheca ciferrii	1	1	
138855	Aristotelia chilensis	1	1	
1492262	Erysimum pusillum	1	1	
98029	Physaria acutifolia	1	1	
651643	Isatis lusitanica	1	1	
142738	Stellera chamaejasme	1	1	
66014	Cymbopogon citratus	1	1	
696524	Microtea debilis	1	1	
330163	Dysphania ambrosioides	1	1	
883134	Bothriochloa decipiens	1	1	
51255	Lonicera maackii	1	1	
225203	Gentiana dahurica	1	1	
1505710	Beta patula	1	1	
59289	Crucihimalaya himalaica	1	1	
167233	unclassified Trebouxiophyceae	1	1	
160364	Penstemon barbatus	1	1	
185238	Vinca major	1	1	
49801	Cercis canadensis	1	1	
262936	Ochetophila trinervis	1	1	
105944	Nissolia schottii	1	1	
47790	Tetrabaena socialis	1	1	
47615	Gossypioides kirkii	1	1	
47617	Kokia drynarioides	1	1	
76578	Lobelia cardinalis	1	1	
1157962	Chlamydomonas eustigma	1	1	
79835	Cymbopogon flexuosus	1	1	
51707	Yamagishiella unicocca	1	1	
34287	Gossypium davidsonii	1	1	
34283	Gossypium armourianum	1	1	
123604	Cycas panzhihuaensis	1	1	
4091	Nicotiana otophora	1	1	
33097	Gonium pectorale	1	1	
119951	Eugenia uniflora	1	1	
45691	Glycine latifolia	1	1	
145474	Helicosporidium	1	1	
160371	Penstemon fruticosus	1	1	
3111	Prototheca wickerhamii	1	1	
103484	Quercus dentata	48	0	
39919	Silene uniflora	24	0	
81816	Messastrum gracile	21	0	
2511006	Salix koriyanagi	20	0	
544730	Carex littledalei	18	0	
60913	Noccaea goesingensis	12	0	
157742	Vigna reflexopilosa	11	0	
889485	Salix udensis	10	0	
1406276	Begonia peltatifolia	10	0	
157746	Vigna hirtella	7	0	
106618	Bruguiera parviflora	6	0	
3816	Abrus precatorius	6	0	
314410	Carex cristatella	5	0	
314463	Carex scoparia	5	0	
1291450	Aquilegia kansuensis	5	0	
98584	Bruguiera sexangula	5	0	
157753	Vigna trinervia	3	0	
2022672	Rhynchospora breviuscula	3	0	
2905994	Begonia darthvaderiana	3	0	
198562	Begonia masoniana	3	0	
29817	Iris pallida	2	0	
200023	Begonia loranthoides	2	0	
118354	Rhododendron kiyosumense	2	0	
51605	Spirodela intermedia	2	0	
97307	Prunus padus	2	0	
198213	Rhynchospora tenuis	1	0	
1640932	Chenopodium formosanum	1	0	
283872	Avena insularis	1	0	
413958	Bruguiera hainesii	1	0	
106616	Bruguiera cylindrica	1	0	
2488265	Rhododendron henanense	1	0	
172013	Ceriops decandra	1	0	
132429	Amphicarpaea edgeworthii	1	0	
162769	Eperua falcata	1	0	
207710	Prosopis alba	1	0	
352370	Cardamine resedifolia	1	0	
2509519	unclassified Mamiellaceae	0	0	
2922360	unclassified Bathycoccaceae	0	0	
260556	unclassified Streptophyta	0	0	
54236	Caryopteris x clandonensis	0	0	
305802	Oenanthe sinensis	0	0	
163078	Cordia subcordata	0	0	
3438	Umbellularia californica	0	0	
60424	Quercus tomentella	0	0	
1130063	uncultured Chlorellales	0	0	
167235	uncultured Trebouxiophyceae	0	0	
857043	Quercus phellos	0	0	
328769	Costus lasius	0	0	
2589542	Erythroxylum tenue	0	0	
1471847	Erythroxylum urbanii	0	0	
2303054	Erythroxylum roraimae	0	0	
2303057	Erythroxylum shatona	0	0	
1471846	Erythroxylum rotundifolium	0	0	
2768049	Erythroxylum longipes	0	0	
2589512	Erythroxylum pelleterianum	0	0	
2303059	Erythroxylum subrotundum	0	0	
2589496	Erythroxylum mucronatum	0	0	
2768050	Erythroxylum suave	0	0	
2589511	Erythroxylum pedicellare	0	0	
2758712	Erythroxylum raimondii	0	0	
2303042	Erythroxylum lineolatum	0	0	
1304337	Erythroxylum platyclados	0	0	
2589546	Erythroxylum ulei	0	0	
2303065	Erythroxylum williamsii	0	0	
768545	Sesamum schinzianum	0	0	
2303019	Erythroxylum anguifugum	0	0	
1471845	Erythroxylum brevipes	0	0	
2589444	Erythroxylum cassinoides	0	0	
2589433	Erythroxylum alaternifolium	0	0	
1465301	Erythroxylum rufum	0	0	
2589494	Erythroxylum minutifolium	0	0	
681435	Erythroxylum panamense	0	0	
485725	Sesbania bispinosa	0	0	
2589452	Erythroxylum coriaceum	0	0	
1073321	Saraca asoca	0	0	
96569	Exbucklandia tonkinensis	0	0	
291940	Artocarpus hirsutus	0	0	
2303040	Erythroxylum incrassatum	0	0	
2303032	Erythroxylum foetidum	0	0	
3823	Canavalia ensiformis	0	0	
2303024	Erythroxylum carthagenense	0	0	
2303035	Erythroxylum gracilipes	0	0	
104324	Vitis cinerea var. helleri x Vitis rupestris	0	0	
152274	Vitis cinerea var. helleri x Vitis riparia	0	0	
80294	Bursera cuneata	0	0	
2570596	Solanum medicagineum	0	0	
434235	Pistacia integerrima	0	0	
2071455	Dryas alaskensis	0	0	
2570597	Solanum ossicruentum	0	0	
446125	Phoenix roebelenii	0	0	
889476	Quercus bicolor	0	0	
122832	Platanus orientalis	0	0	
2708596	Scalesia atractyloides	0	0	
1520601	Dyckia ibiramensis	0	0	
329799	Solanum sejunctum	0	0	
292533	Iris virginica	0	0	
681434	Erythroxylum macrophyllum	0	0	
2303036	Erythroxylum guanchezii	0	0	
2303050	Erythroxylum oxycarpum	0	0	
2589535	Erythroxylum squamatum	0	0	
2768045	Erythroxylum baracoense	0	0	
1641373	Gossypium ekmanianum	0	0	
1985974	Vachellia pachyceras	0	0	
2589459	Erythroxylum domingense	0	0	
2303049	Erythroxylum orinocense	0	0	
2303051	Erythroxylum plowmanianum	0	0	
47633	Gossypium rotundifolium	0	0	
462830	Ficus hispida	0	0	
330158	Asclepias incarnata	0	0	
2303041	Erythroxylum kapplerianum	0	0	
2589458	Erythroxylum divaricatum	0	0	
53169	Scutellaria galericulata	0	0	
59018	Luzula sylvatica	0	0	
1515725	Eugenia klotzschiana	0	0	
194200	Ballota nigra	0	0	
1125905	Erythroxylum havanense	0	0	
2563832	Gossypium stephensii	0	0	
2303025	Erythroxylum cataractarum	0	0	
55438	Amphibolis antarctica	0	0	
2303029	Erythroxylum densum	0	0	
2768048	Erythroxylum kunthianum	0	0	
1040647	Erythroxylum areolatum	0	0	
2303020	Erythroxylum bequaertii	0	0	
36612	Heteromeles arbutifolia	0	0	
72930	Erigeron philadelphicus	0	0	
161101	Lemna minuta	0	0	
3412	Magnolia virginiana	0	0	
64432	Linanthus parryae	0	0	
1291435	Aquilegia eximia	0	0	
193309	Pyracantha coccinea	0	0	
49829	Lathyrus tuberosus	0	0	
67830	Quercus wislizeni	0	0	
420342	Papilionanthe hookeriana x Papilionanthe teres	0	0	
74628	Rosa persica	0	0	
883000	Camelina hispida	0	0	
359823	Camelina laxa	0	0	
1627839	Bletilla sinensis	0	0	
884147	Vitis x doaniana	0	0	
2690240	Vitis aestivalis var. linsecomii x Vitis rupestris	0	0	
87089	Brassica balearica	0	0	
53036	Sphagnum fallax	0	0	
375277	Rhodomyrtus psidioides	0	0	
375276	Rhodamnia rubescens	0	0	
396367	Scutellaria barbata	0	0	
1365876	Campomanesia xanthocarpa	0	0	
73575	Solanum okadae	0	0	
1813533	Prunus kanzakura	0	0	
2735165	Tetratostichococcus	0	0	
89197	Arctostaphylos glauca	0	0	
338544	Eucalyptus rudis	0	0	
145231	Acanthochlamys bracteata	0	0	
50001	Sarracenia alata	0	0	
159434	Passiflora organensis	0	0	
3162	Prasinocladus	0	0	
2511175	Axilococcus clingmanii	0	0	
60131	Asterochloris erici	0	0	
336974	Azolla nilotica	0	0	
336972	Azolla microphylla	0	0	
45988	Azolla rubra	0	0	
336973	Azolla mexicana	0	0	
1650286	Chlorella desiccata (nom. nud.)	0	0	
138028	Acacia melanoxylon	0	0	
178749	Acacia acuminata	0	0	
175755	Amorphophallus titanum	0	0	
54955	Telopea speciosissima	0	0	
34182	Chlorophytum comosum	0	0	
1711299	Eucalyptus fibrosa	0	0	
87673	Eucalyptus lansdowneana	0	0	
183847	Eucalyptus polyanthemos	0	0	
183832	Eucalyptus leucophloia	0	0	
627157	Eucalyptus paniculata	0	0	
1234624	Eucalyptus shirleyi	0	0	
1711249	Eucalyptus dawsonii	0	0	
1230916	Eucalyptus victrix	0	0	
452574	Eucalyptus pumila	0	0	
2660567	Eucalyptus sideroxylon x Eucalyptus melliodora	0	0	
115934	Boechera retrofracta	0	0	
1920719	Apostasia ramifera	0	0	
228396	Jacaranda copaia	0	0	
429699	Handroanthus guayacan	0	0	
474999	Euphrasia arctica	0	0	
34288	Gossypium laxum	0	0	
34324	Corymbia calophylla	0	0	
2654256	Eucalyptus brandiana	0	0	
183809	Eucalyptus albens	0	0	
881201	Eucalyptus coolabah	0	0	
1711251	Eucalyptus decipiens	0	0	
183854	Eucalyptus tenuipes	0	0	
155764	Eucalyptus viminalis	0	0	
2654258	Eucalyptus virginea	0	0	
1711195	Eucalyptus caleyi	0	0	
2489086	unclassified Prasinococcaceae	0	0	
56030	Fraxinus platypoda	0	0	
880137	Fraxinus griffithii	0	0	
126366	Fraxinus greggii	0	0	
490840	Fraxinus floribunda	0	0	
56042	Fraxinus cuspidata	0	0	
1616475	Fraxinus baroniana	0	0	
56041	Fraxinus anomala	0	0	
102695	Fraxinus albicans	0	0	
210380	Mesua ferrea	0	0	
54988	Dipteryx alata	0	0	
490846	Fraxinus paxiana	0	0	
126365	Fraxinus dipetala	0	0	
490850	Fraxinus sieboldiana	0	0	
586526	Arabis nemorensis	0	0	
329767	Solanum clarkiae	0	0	
980011	Bidens hawaiensis	0	0	
715706	Galium porrigens	0	0	
2086541	Kewa caespitosa	0	0	
1685480	Microthlaspi erraticum	0	0	
1477589	Rafflesia leonardi	0	0	
36594	Aronia arbutifolia	0	0	
36610	Cydonia oblonga	0	0	
141003	Gillenia trifoliata	0	0	
79833	Coix aquatica	0	0	
54456	Rhodoleia championii	0	0	
2509265	Prototheca bovis	0	0	
501393	Larix cajanderi	0	0	
153329	Lepidium aucheri	0	0	
1244054	Physaria ovalifolia	0	0	
165365	Raparia bulbosa	0	0	
81982	Pseudoturritis turrita	0	0	
71365	Sisymbrium altissimum	0	0	
391730	Macropodium nivale	0	0	
153324	Lepidium africanum	0	0	
169074	Kernera saxatilis	0	0	
1533145	Iberis pinnata	0	0	
263653	Heliophila coronopifolia	0	0	
1078598	Erucastrum elatum	0	0	
115924	Boechera puberula	0	0	
379493	Biscutella auriculata	0	0	
375941	Desmodesmus armatus	0	0	
169069	Aurinia saxatilis	0	0	
226021	Odontarrhena argentea	0	0	
34163	Pleurozium schreberi	0	0	
284492	Vachellia collinsii	0	0	
56040	Fraxinus latifolia	0	0	
126421	Fraxinus xanthoxyloides	0	0	
166594	Fraxinus angustifolia	0	0	
325515	Spergula arvensis	0	0	
187269	Adenophora triphylla	0	0	
176864	Carpinus viminea	0	0	
167584	Dioscorea dumetorum	0	0	
55578	Dioscorea sansibarensis	0	0	
34289	Gossypium lobatum	0	0	
34291	Gossypium schwendimanii	0	0	
87676	Eucalyptus pauciflora	0	0	
37427	Isoetes engelmannii	0	0	
38704	Raddia distichophylla	0	0	
167602	Trichopus zeylanicus	0	0	
480971	Caryocar brasiliense	0	0	
2249226	Juglans microcarpa x Juglans regia	0	0	
167767	Characiochloris	0	0	
1034479	Chloroidium	0	0	
455371	Spatholobus suberectus	0	0	
219896	Syzygium oleosum	0	0	
178133	Rhodamnia argentea	0	0	
1035539	unclassified Mamiellophyceae	0	0	
52706	Musa schizocarpa	0	0	
53588	Silphium perfoliatum	0	0	
86777	Magnolia ashei	0	0	
97028	Trifolium medium	0	0	
53854	Chamaecrista fasciculata	0	0	
315347	Solanum verrucosum	0	0	
91219	Juglans microcarpa	0	0	
575411	Prototheca cutis	0	0	
90897	Cicer echinospermum	0	0	
215448	Prototheca stagnorum	0	0	
171973	Stenocereus thurberi	0	0	
153875	Lophocereus schottii	0	0	
1931378	Pereskia humboldtii	0	0	
91216	Juglans hindsii	0	0	
798322	Hyparrhenia diplandra	0	0	
34290	Gossypium aridum	0	0	
311912	Conringia planisiliqua	0	0	
4366	Drosera capensis	0	0	
1902783	Populus ilicifolia	0	0	
28458	Chlamydomonas sphaeroides	0	0	
51683	Chlamydomonas asymmetrica	0	0	
35704	Chlamydomonas applanata	0	0	
330583	Chrysopogon serrulatus	0	0	
1812841	Lagerstroemia fauriei	0	0	
1070856	Zoysia pacifica	0	0	
571359	Arabis nordmanniana	0	0	
1522114	Tilia amurensis	0	0	
36881	Cymbomonas tetramitiformis	0	0	
528323	uncultured Bathycoccus	0	0	
34285	Gossypium harknessii	0	0	
34284	Gossypium turneri	0	0	
1495044	Quercus aquifolioides	0	0	
109171	Pachyrhizus erosus	0	0	
31300	Mychonastes homosphaera	0	0	
388155	Penstemon grinnellii	0	0	
69924	Penstemon centranthifolius	0	0	
192259	Genlisea aurea	0	0	
101013	Fragaria orientalis	0	0	
112521	Hordeum pubiflorum	0	0	
34278	Gossypium sturtianum	0	0	
47600	Gossypium anomalum	0	0	
34314	Eucalyptus erythrocorys	0	0	
87660	Corymbia maculata	0	0	
183827	Eucalyptus guilfoylei	0	0	
183836	Eucalyptus marginata	0	0	
34315	Eucalyptus microcorys	0	0	
34320	Eucalyptus cloeziana	0	0	
34308	Angophora floribunda	0	0	
34319	Eucalyptus curtisii	0	0	
452569	Eucalyptus cladocalyx	0	0	
87681	Eucalyptus regnans	0	0	
44015	Glycine tomentella	0	0	
216990	Betula nana	0	0	
310722	Leavenworthia alabamica	0	0	
34282	Gossypium gossypioides	0	0	
160369	Penstemon dissectus	0	0	
160366	Penstemon davidsonii	0	0	
388136	Penstemon cyananthus	0	0	
84005	Arbutus unedo	0	0	
1028570	Raphanus raphanistrum x Raphanus sativus	0	0	
15945	Zea luxurians	0	0	
860625	Chondria armata	0	0
172961	Gracilaria domingensis	0	0
2690220	Cyanidiococcus yangmingshanensis	8	7
2608709	Gracilaria vermiculophylla	40	40
231751	Porolithon onkodes	0	0
1389228	Galdieria phlegrea	0	0
945030	Digenea simplex	0	0
38544	Kappaphycus alvarezii	55	55
448386	Gracilariopsis chorda	0	0
260499	Asparagopsis taxiformis	8	8
35688	Porphyridium purpureum	84	84
1262161	Neoporphyra haitanensis	235	231
2786	Porphyra umbilicalis	29	29
2782	Gracilariopsis lemaneiformis	86	47
2769	Chondrus crispus	11	11
2771	Cyanidium caldarium	2	1
130081	Galdieria sulphuraria	48	47
45157	Cyanidioschyzon merolae	56	52
2788	Neopyropia yezoensis	116	112
2762	Cyanophora paradoxa	109	109
