taxid	species	rna_count	illumina_rna_count	cds_link
3046	Dunaliella salina	213	168	
4686	Asparagus officinalis	209	168	
65561	Hypericum perforatum	181	168	
3088	Tetradesmus obliquus	182	166	
110835	Eragrostis tef	166	166	
3755	Prunus dulcis	163	159	
3719	Capsella bursa-pastoris	160	159	
112863	Lycium barbarum	158	158	
72664	Eutrema salsugineum	192	157	
3494	Ficus carica	162	154	
3986	Mercurialis annua	154	154	
62890	Solanum habrochaites	153	153	
94219	Dendrobium nobile	153	152	
37690	Citrus trifoliata	163	151	
3988	Ricinus communis	161	151	
126418	Forsythia suspensa	150	150	
3870	Lupinus albus	150	150	
3821	Cajanus cajan	151	149	
413952	Kandelia obovata	149	149	
3316	Thuja plicata	151	147	
50452	Arabis alpina	147	145	
49451	Nicotiana attenuata	145	144	
262757	Morella rubra	143	143	
42345	Phoenix dactylifera	168	142	
3759	Prunus yedoensis	141	141	
76306	Mimosa pudica	140	140	
4392	Eucommia ulmoides	140	139	
70447	Ostreococcus	138	138	
586722	Paulownia fortunei	141	137	
3908	Vicia sativa	156	136	
88123	Prunus salicina	137	136	
94328	Zingiber officinale	136	136	
3668	Lagenaria siceraria	136	136	
4222	Carthamus tinctorius	180	135	
3486	Humulus lupulus	166	135	
44744	Haematococcus	143	133	
293754	Limonium bicolor	133	133	
184485	Mesotaenium endlicherianum	133	133	
88036	Selaginella moellendorffii	132	132	
1278906	Salix suchowensis	164	131	
70448	Ostreococcus tauri	130	130	
49495	Ceratopteris richardii	136	129	
105884	Lonicera japonica	132	129	
3076	Chlorella sorokiniana	145	128	
81473	Alopecurus myosuroides	133	128	
44745	Haematococcus lacustris	137	127	
4509	Dactylis glomerata	133	127	
4212	Ambrosia artemisiifolia	131	126	
1550601	Populus davidiana x Populus alba var. pyramidalis	125	125	
13419	Chimonanthus praecox	124	122	
3414	Liriodendron chinense	123	122	
3505	Betula pendula	145	121	
192012	Mikania micrantha	135	120	
106549	Malus baccata	120	120	
13427	Cichorium intybus	120	119	
3078	Auxenochlorella pyrenoidosa	124	118	
48386	Perilla frutescens	146	117	
106567	Malus sieversii	136	117	
13818	Adiantum capillus-veneris	117	116	
4121	Ipomoea purpurea	115	115	
75702	Populus euphratica	192	113	
2599122	Vitis x labruscana x Vitis vinifera	112	112	
56036	Fraxinus pennsylvanica	113	111	
3087	Scenedesmus	112	111	
906689	Dendrobium catenatum	112	111	
81985	Capsella rubella	111	111	
3225	Ceratodon purpureus	121	107	
52838	Musa balbisiana	110	105	
55670	Stevia rebaudiana	106	104	
3469	Papaver somniferum	121	102	
13333	Amborella trichopoda	115	102	
33119	Petunia axillaris	103	102	
4362	Dionaea muscipula	102	102	
155299	Litsea cubeba	99	99	
34254	Lithospermum erythrorhizon	98	98	
29730	Gossypium raimondii	109	97	
259893	Artemisia argyi	99	97	
176265	Selenicereus undatus	98	97	
151332	Prunus mira	98	97	
102211	Benincasa hispida	98	97	
257763	Dendrocalamus latiflorus	101	96	
28532	Tarenaya hassleriana	97	96	
4397	Hamamelis virginiana	96	96	
39329	Lavandula angustifolia	95	95	
374723	Phtheirospermum japonicum	94	93	
35608	Artemisia annua	110	91	
4083	Solanum chilense	91	91	
218851	Aquilegia coerulea	90	90	
3832	Cyamopsis tetragonoloba	91	89	
458696	Tripterygium wilfordii	91	89	
4093	Nicotiana rustica	89	89	
49212	Salvia hispanica	89	89	
34145	Closterium	99	88	
70973	Medicago ruthenica	89	88	
78828	Phalaenopsis equestris	88	88	
4505	Coix lacryma-jobi	113	87	
4511	Eleusine coracana	91	87	
47622	Gossypium bickii	87	87	
3914	Vigna angularis	100	86	
3673	Momordica charantia	94	86	
436086	Pyrus betulifolia	91	86	
110664	Talinum fruticosum	86	85	
3077	Chlorella vulgaris	91	83	
3999	Simmondsia chinensis	87	83	
93759	Corchorus olitorius	87	83	
184783	Areca catechu	83	83	
94286	Platycodon grandiflorus	103	82	
132459	Pueraria montana	90	80	
435756	Alloteropsis semialata	87	80	
277990	Amaranthus tuberculatus	81	80	
586396	Linum tenue	80	80	
63659	Ulva compressa	80	80	
296587	Micromonas commoda	80	80	
240906	Puccinellia tenuiflora	91	79	
34317	Eucalyptus globulus	79	78	
52824	Brassica carinata	78	78	
82927	Avicennia marina	82	77	
68872	Striga hermonthica	92	76	
4214	Ambrosia trifida	81	76	
103349	Vitis rotundifolia	77	76	
58331	Quercus suber	127	75	
328401	Zanthoxylum bungeanum	79	75	
101976	Metrosideros polymorpha	77	75	
90397	Echinochloa crus-galli	76	75	
4082	Solanum peruvianum	74	74	
163089	Flaveria robusta	74	73	
91201	Gastrodia elata	83	72	
241073	Vitis hybrid cultivar	72	72	
267555	Cuscuta australis	72	72	
210143	Corchorus capsularis	72	72	
4536	Oryza nivara	72	72	
99300	Rehmannia glutinosa	97	71	
3710	Brassica nigra	72	71	
155132	Akebia trifoliata	71	71	
3570	Dianthus caryophyllus	99	70	
16719	Juglans nigra	79	70	
219868	Syzygium aromaticum	70	70	
29808	Taxus chinensis	70	70	
34111	Monoraphidium	70	70	
472368	Dorcoceras hygrometricum	70	69	
23029	Sedum album	69	69	
45249	Arabidopsis suecica	70	68	
261450	Coptis chinensis	68	68	
82528	Crocus sativus	77	67	
55363	Diospyros lotus	67	67	
105231	Klebsormidium nitens	73	66	
4521	Lolium multiflorum	70	66	
147272	Paspalum notatum	68	66	
1954239	Populus x sibirica	66	66	
60698	Macadamia integrifolia	66	66	
39905	Heliosperma pusillum	65	65	
3735	Moringa oleifera	65	65	
34274	Gossypium herbaceum	90	64	
114476	Gardenia jasminoides	64	64	
4045	Apium graveolens	64	64	
3670	Luffa aegyptiaca	64	63	
109975	Solanum americanum	63	63	
3860	Lathyrus sativus	64	61	
51239	Vanilla planifolia	63	61	
4224	Flaveria bidentis	62	61	
151071	Nephelium lappaceum	61	61	
